Întrebare, Răspuns
Este anul de lansare al jocului "Fortnite" 2011?, false
Protagonistul principal din seria "The Legend of Zelda" se numește Mario?, false
Este "Minecraft" un joc în care obiectivul principal este supraviețuirea și construirea de structuri?, true
Modul battle royale din "Call of Duty: Warzone" a fost introdus în 2020?, true
Are "World of Warcraft" un nivel maxim realizabil de 100?, false
Este "Assassin's Creed" o serie de jocuri dezvoltată de Blizzard Entertainment?, false
Antagonistul principal din seria "Half-Life" se numește Nihilanth?, true
Jocul "Red Dead Redemption 2" este plasat într-o lume futuristă cyberpunk?, false
Este "Pokémon" un joc în care jucătorul capturează și antrenează creaturi numite Digimon?, false
În "Super Mario Bros." poate Mario să crească în mărime dacă mănâncă un morcov?, false
Este "Halo" o serie de jocuri în care apare un personaj numit Master Chief?, true
Casca de realitate virtuală dezvoltată de Valve se numește "Vive"?, true
În "League of Legends" jucătorii controlează zei și creaturi mitice?, false
Are "Fortnite" un mod de joc numit "Save the World" în care jucătorii cooperează pentru a lupta împotriva zombilor?, true
În seria "The Sims" jucătorii pot construi și gestiona gospodării virtuale?, true
Este "Overwatch" un joc de tip first-person shooter plasat într-o lume medievală fantastică?, false
Personajul principal din seria "Tomb Raider" se numește Nathan Drake?, false
În "Destiny 2" jucătorii pot explora o galaxie masivă cu o lume deschisă?, true
Arma principală folosită de personajul principal din "Doom" este un pistol cu plasmă?, false
Este "Metal Gear Solid" o serie de jocuri cunoscută pentru modul de joc stealth?, true
Este Nintendo Switch o consolă de jocuri dezvoltată de Microsoft?, false
Numele inteligenței artificiale din "Portal" este GLaDOS?, true
În "Pac-Man" obiectivul este să mănânci toate pelete și să eviți fantomele?, true
Personajul principal din jocul "BioShock" este un om de știință pe nume Andrew Ryan?, false
Este "Apex Legends" un joc dezvoltat de Electronic Arts?, true
Protagonistul din "The Witcher 3: Wild Hunt" se numește Geralt of Rivia?, true
Moneda virtuală din joc folosită în "Fortnite" se numește "Credite"?, false
Dispune "Call of Duty: Black Ops 4" de un mod battle royale numit "Blackout"?, true
Jocul "Fallout 4" este amplasat într-o lume post-apocaliptică cu o estetică retro-futuristă?, true
Jocul "EarthBound" prezintă un grup de copii protagoniști cu puteri psihice?, true
Jocul "Mario Kart" include personaje din diverse francize Nintendo?, true
Consola de jocuri "PlayStation" este produsă de Microsoft?, false
Jocul "Assassin's Creed" permite jucătorilor să exploreze cadre istorice precum Egiptul Antic și Grecia Antică?, true
În "Dota 2" fiecare echipă este formată din 6 jucători?, false
Obiectivul principal în "Grand Theft Auto V" este acela de a construi și gestiona orașe virtuale?, false
Jocul "Borderlands" prezintă un grup de personaje numite Space Marines?, false
Protagonistul din "The Last of Us Part II" este un personaj numit Joel?, false
În jocul "Counter-Strike: Global Offensive" facțiunea teroristă cunoscută sub numele de "Phoenix Connexion" folosește AK-47 ca armă principală?, true
Casca de realitate virtuală dezvoltată de Oculus se numește "Rift"?, true
Jocul "No Man's Sky" este cunoscut pentru universul său generat procedural pe care jucătorii îl pot explora?, true
În "Final Fantasy VII" antagonistul principal se numește Cloud Strife?, false
Este "Assassin's Creed" o serie de jocuri cunoscută pentru mișcarea în stil parkour și pentru mecanicile sale de stealth?, true
Companionul robotic din "Portal 2" se numește GLaDOS?, false
Jocul "Call of Duty: Modern Warfare" dispune de un mod battle royale numit "Warzone"?, true
Jocul "Fallout" este plasat într-o societate utopică deasupra norilor?, false
Jocul "Metroid" prezintă o serie de jocuri în care jucătorii controlează un personaj numit Samus Aran?, true
În "The Legend of Zelda: Breath of the Wild" jucătorii pot explora un regat masiv în lumea deschisă?, true
Personajul principal din seria "Devil May Cry" se numește Dante?, true
Jocul "StarCraft" este plasat într-o lume medievală fantastică?, false
Jocul "Fortnite" dispune de un mod numit "Creative" în care jucătorii pot construi structuri personalizate?, true